"Name","Address","Phone","Category","Website","Rating","Reviews","Price Range","Hours","Description","Merchant Verified","Business Closed","Dine-In","Takeout","Delivery","Review 1 Text","Review 1 Score","Review 2 Text","Review 2 Score","Review 3 Text","Review 3 Score","Image URL","Listing CID","Lat","Long","Listing URL","Email","Facebook","Twitter","Instagram","LinkedIn"
"KoTuk Cannabis Shop(ร้านกัญชา)","134 40 ถนน สัจจกุล ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0834432501","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","46",""," วันพุธ 9:00–1:00, วันพฤหัสบดี 9:00–1:00, วันศุกร์ 9:00–0:00, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–1:00,","","Yes","No","No","No","No","แวะมากันครับของดีมากๆเป็นกันเองครับ ส่งก้มานะครับ โทรสอบถามได้ครับคุณภาพดีมาก","ได้รับ 5.0 จาก 5 ดาว,","หร่อยมากน้องรัก พัฒนาฝีมือไปอีกน้องบ่าว (ขับรถช้าๆ ระวังหน่อย)","ได้รับ 5.0 จาก 5 ดาว,","เข้ามาเลยครับบริการดีฟิวบ้านเพื่อน😘","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","8559443695267528462","7.0224024","100.4602276","http://maps.google.com/maps/place?cid=8559443695267528462","","","","",""
"S WEED UPPER 420 HATYAI Weed Cannabis Coffee Dispensary Cafe Shop","JT square plaza 4แยก ไดอาน่า ตรงที่ขายผ้าเยอะๆ เลียบ ถนน 30 เมตร ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0968648319","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","4.9","334",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ร้านนั่งสบาย เพลงไพเราะ เจ้าของร้านน่ารักค่ะ มาเที่ยวกันเยอะๆนะคะ","ได้รับ 5.0 จาก 5 ดาว,","สถานที่ดี ได้มิตรภาพ ได้เพื่อนใหม่เป็นคนขายของด้วย มายเฟรน","ได้รับ 5.0 จาก 5 ดาว,","มีดอกหลายสายพันธ์ มีอุปกรค์ครบ เพลงฟังผ่อนคลาย รูปภาพในร้านสวย 👽🛸","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipNtetJgTTFbU3NzAxsPD4V_HTn03IdzwWAV2cbR","5614638054026226408","","","http://maps.google.com/maps/place?cid=5614638054026226408","","","","",""
"Broccoli.hdy (canna cafe hatyai)","soi3, 71, ถนน ทุ่งรี ตำบล คอหงส์ อำเภอหาดใหญ่ สงขลา 90110","0918453616","ร้านขายกัญชาในตำบล คอหงส์","","5.0","15",""," วันพุธ 10:00–23:30, วันพฤหัสบดี 10:00–23:30, วันศุกร์ 10:00–23:30, วันเสาร์ 10:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 13:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:30,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","11678365644692015264","6.9981994","100.49941659999999","http://maps.google.com/maps/place?cid=11678365644692015264","","","","",""
"KANDABIZ","66 ถ. ธรรมนูญวิถี ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0809362999","ร้านขายกัญชา","","5.0","148",""," วันพุธ 10:00–0:00, วันพฤหัสบดี 10:00–0:00, วันศุกร์ 10:00–0:00, วันเสาร์ 12:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 12:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–0:00,","","Yes","No","No","No","No","บริการดีมากครับ เป็นกันเอง บรรยากาศดี ราคาโอเค","ได้รับ 5.0 จาก 5 ดาว,","เจ้าของร้านเป็นกันเองมาก​ สายชิลสายหนักมาได้เลย​ ราคาไม่แรงงง","ได้รับ 5.0 จาก 5 ดาว,","เราจะปลดปล่อย พันธการ ไปจากใจฉัน ผู้ใช้ควรได้รับคำปรึกษาก่อนใช่งาน","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPjDrMesxucOO3RE8wLjESJHTwzfKpVBWhsrelT","3877636476534509855","7.0043384","100.4704884","http://maps.google.com/maps/place?cid=3877636476534509855","","","","",""
"Syrup Cannabis","101 2 ถนน พลพิชัย ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0926690447","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","10",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","บริการดีมากๆครับ พนักงานเป็นกันเอง มีสินค้าให้เลือกหลายสายพันธุ์ ความเมา 10/10","ได้รับ 5.0 จาก 5 ดาว,","ของดีมีคุณภาพ ราคาไม่แพงครับ เป็นกันเอง ครับ","ได้รับ 5.0 จาก 5 ดาว,","สินค้าคุณภาพดีราคาน่ารัก มีให้เลือกหลายตัวเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","1466379377625824856","6.9950399999999995","100.4641382","http://maps.google.com/maps/place?cid=1466379377625824856","","","","",""
"Weed Dragon Hatyai Cannabis Shop","88 ถนน ศุภสารรังสรรค์ ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0994901581","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","17",""," วันพุธ 10:00–23:30, วันพฤหัสบดี 10:00–23:30, วันศุกร์ 10:00–23:30, วันเสาร์ 10:00–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–23:30,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNtetJgTTFbU3NzAxsPD4V_HTn03IdzwWAV2cbR","2818984217569864557","7.0079772","100.4713059","http://maps.google.com/maps/place?cid=2818984217569864557","","","","",""
"Weed Cannabis 大麻 Hatyai CHUM MOKE WEED 133 - Dispensary - Marijuana - SHOP&CAFE","ข้าง เซเว่น บขส หาดใหญ่ 133 ถนน โชติวิทยะกุล 5 ต.หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0612079783","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","118",""," วันพุธ 9:30–23:30, วันพฤหัสบดี 9:30–23:30, วันศุกร์ 9:30–23:30, วันเสาร์ 9:30–23:30, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:30–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 12:00–23:30<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:30–23:30,","","Yes","No","No","No","No","บริการดีมากครับ เป็นกันเอง ราคาก็ดีต่อใจ มีโอกาสจะไปอีกนะครับ","ได้รับ 5.0 จาก 5 ดาว,","ที่ร้านแนะนำดีมากครับ เจ้าของร้านให้ความรู้เรื่องกัญชาด้วยครับ","ได้รับ 5.0 จาก 5 ดาว,","บรรยากาศดี นั่งเพลินๆเลยค่าา ร้านเปิดเพลงให้ฟังด้วย แนะนำเลยค่าห้ามพลาดดดด 👍🏻","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","9803264994836640172","6.9953018","100.4832699","http://maps.google.com/maps/place?cid=9803264994836640172","","","","",""
"กัญชาหาดใหญ่ by MOON LIGHT cannabis hatyai","181 นวลแก้วอุทิศ ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0887823395","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","7",""," วันพุธ 15:00–1:00, วันพฤหัสบดี 15:00–1:00, วันศุกร์ 15:00–1:00, วันเสาร์ 15:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 15:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 15:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 15:00–1:00,","","Yes","No","No","No","No","สินค้าดี ราคาถูก เยลลี่อร่อยมาก","ได้รับ 5.0 จาก 5 ดาว,","พ่อค้าบริการดีครับ พูดเพราะ เกินนิดเกินหน่อยก็แถมๆให้ครับ 👍🏻","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/AF1QipNK8l8wjEv0M5cgpiouqFUeDBdI74rxAx2zvIWY","17675484422532830828","7.028663300000001","100.4816345","http://maps.google.com/maps/place?cid=17675484422532830828","","","","",""
"เพื่อนปาร์ตี้ Weed Shop","24 ถนน โชติวิทยะกุล 5 ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0803762998","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","181",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 10:00–22:00, วันศุกร์ 10:00–0:00, วันเสาร์ 10:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–22:00,","Our Buddyparty team sources the best weed in Thailand through relationships forged over years. We partner directly with farmers and brands and pass the savings on to you.Whether you’re looking to roll something up, grab a pre-roll on the go, enjoy...แสดงเพิ่ม","Yes","No","No","No","No","บริการส่งเร็วดีครับ ดอกไม้คุณภาพ มาใกลเป็นพันกว่ากิโล หายเหนื่อยเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","สายกัญแนะนำให้ลอง ไม่ผิดหวังแน่นอน บรรยากาศดีมีของกินเครื่องดื่มเพียบ","ได้รับ 5.0 จาก 5 ดาว,","เมนูหลากหลาย พนักงานสุภาพ เป็นกันเอง โดยรวมแนะนำนะครับ","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","6634354336512387657","6.994942399999999","100.4856988","http://maps.google.com/maps/place?cid=6634354336512387657","","","","",""
"Royyim in Cannabis","127 3 ถนน นิพัทธ์อุทิศ ๓ ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0937860066","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","4.7","16",""," วันพุธ 10:00–1:00, วันพฤหัสบดี 10:00–1:00, วันศุกร์ 10:00–1:00, วันเสาร์ 10:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 11:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 10:00–1:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","14401515734215118602","7.0045423","100.47063829999999","http://maps.google.com/maps/place?cid=14401515734215118602","","","","",""
"Nano Growers 大麻店","ซอย 16 อำเภอเมืองหาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0969196656","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","8",""," วันพุธ 9:00–21:00, วันพฤหัสบดี 9:00–21:00, วันศุกร์ 9:00–21:00, วันเสาร์ 9:00–21:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–21:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–21:00,","","Yes","No","No","No","No","พ่อค้าบริการดีมาก ของดี ราคาไม่แพง แนะนำเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","ดอกคุณภาพมากๆ แนะนำครับ","ได้รับ 5.0 จาก 5 ดาว,","","","https://lh5.googleusercontent.com/p/","12369541153799178045","7.0259877","100.4712519","http://maps.google.com/maps/place?cid=12369541153799178045","","","","",""
"Weed Hatyai Hop Bis Cannabis Shop","ตรงข้ามทุ่งเสาแมนชั่น 165 ถ. ทุ่งเสา 2 ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0830549351","ร้านขายกัญชา","","5.0","556",""," วันพุธ 10:00–22:00, วันพฤหัสบดี 9:00–22:00, วันศุกร์ 10:00–22:00, วันเสาร์ 10:00–22:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 10:00–22:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 18:00–22:00,","Hobbis Shop sells green bouquets, retail-wholesale, reasonable prices, friendly.There are drinks and snacks that are green and not green. There are also souvenirs such as inhalers, pain relievers. Thai traditional home medicine, etc.Able to park...แสดงเพิ่ม","Yes","No","No","No","No","บริการดี เป็นกันเอง ให้คำปรึกษาดีมากเลยครับ งานดีกลิ่นอย่างลั่น สมราคาดีครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดีครับ แอร์เย็น ร้านสวย พนักงานน่ารัก สินค้าคุณภาพดี แนะนำร้านนี้ครับ","ได้รับ 5.0 จาก 5 ดาว,","Hight quality บรรกาศดี เดินทางสะดวกใกล้ตัวเมืองสินค้ามีคุณภาพเจ้าของร้านใจดี","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipPRW_SpC5-HC2cUJX54lm4C1lD8hF-9OtBFnACq","11591392135663980065","","","http://maps.google.com/maps/place?cid=11591392135663980065","","","","",""
"Cyclonelab.hdy cannabis shop","45 คลองเรียน 2 ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0982659361","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","8",""," วันพุธ 17:00–0:00, วันพฤหัสบดี 17:00–0:00, วันศุกร์ 17:00–0:00, วันเสาร์ 17:00–0:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 17:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 17:00–0:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 17:00–0:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","18336786861249251921","7.0008886","100.48414149999999","http://maps.google.com/maps/place?cid=18336786861249251921","","","","",""
"dekwatmango cannabis shop","83 1 อำเภอหาดใหญ่ สงขลา 90110","0829095387","ร้านขายกัญชาในตำบล คลองแห","","4.9","29",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","รู้เรื่องย้ายมิติเลย ของดี เป็นกันเองสุดๆครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดีมีคุณภาพบริการถึงใจ🙏","ได้รับ 5.0 จาก 5 ดาว,","อาโหร่ยมากครับ ขึ้นหัวแต่ลงตัว","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/AF1QipO2qq4f1zmJBE0_6hOI8i0W0sywmzwgK4xO_NWV","15368561012775393448","7.0478957","100.46497099999999","http://maps.google.com/maps/place?cid=15368561012775393448","","","","",""
"นายหัวฟาร์ม(nayhua farm cannabis shop)","20 16 อำเภอหาดใหญ่ สงขลา 90110","0902304932","ร้านขายกัญชาในตำบล คลองแห","","5.0","12",""," วันพุธ เปิด 24 ชั่วโมง, วันพฤหัสบดี เปิด 24 ชั่วโมง, วันศุกร์ เปิด 24 ชั่วโมง, วันเสาร์ เปิด 24 ชั่วโมง, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> เปิด 24 ชั่วโมง<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร เปิด 24 ชั่วโมง,","","Yes","No","No","No","No","ที่สุดของความเมาในหาดใหญ่ !ระวังเหลือง420","ได้รับ 5.0 จาก 5 ดาว,","ขายถูกพ่อค้าเป็นกันเองมากเลยครับ","ได้รับ 5.0 จาก 5 ดาว,","ของดี ของแท้ คุณภาพดี👍👍👍","ได้รับ 5.0 จาก 5 ดาว,","https://lh5.googleusercontent.com/p/","18229689420931318542","7.051047199999999","100.4736961","http://maps.google.com/maps/place?cid=18229689420931318542","","","","",""
"S' Weed Upper 02","79/7 ชั้น 1 ห้องแรก ตำบล หาดใหญ่ อำเภอหาดใหญ่ สงขลา 90110","0982253856","ร้านขายกัญชาในเทศบาลนครหาดใหญ่","","5.0","31",""," วันพุธ 9:00–1:00, วันพฤหัสบดี 9:00–1:00, วันศุกร์ 9:00–1:00, วันเสาร์ 9:00–1:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–1:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–1:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/AF1QipNcAi3uPtgCI11jqJN2ctPFKHmPTLo51G-LRwxP","3292253432669013378","","","http://maps.google.com/maps/place?cid=3292253432669013378","","","","",""
"96 Highship","750 อำเภอหาดใหญ่ สงขลา 90110","0819630529","","","","",""," วันพุธ 9:00–17:00, วันพฤหัสบดี 9:00–17:00, วันศุกร์ 9:00–17:00, วันเสาร์ 9:00–17:00, วันอาทิตย์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร)</div> 9:00–18:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันจันทร์<div>(วันคล้ายวันสวรรคตพระบาทสมเด็จพระบรมชนกาธิเบศร มหาภูมิพลอดุลยเดชมหาราช บรมนาถบพิตร (วันหยุดชดเชย))</div> 9:00–17:00<div><span>เวลาทำการอาจแตกต่างกันไป</span></div>, วันอังคาร 9:00–17:00,","","Yes","No","No","No","No","","","","","","","https://lh5.googleusercontent.com/p/","14860381810040818569","7.022830900000001","100.4991697","http://maps.google.com/maps/place?cid=14860381810040818569","","","","",""
